22697_binarized;22698_binarized;23173_binarized;23174_binarized;22699_binarized;23175_binarized,82
20727_binarized;22384_binarized;23206_binarized;22662_binarized;20725_binarized,83
22697_binarized;22698_binarized;23170_binarized;23172_binarized;22423_binarized;22699_binarized,83
23203_binarized;23206_binarized;23202_binarized;23208_binarized;23199_binarized,82
20725_binarized;20727_binarized;22383_binarized;20726_binarized;22662_binarized;22384_binarized,80
20728_binarized;20727_binarized;23206_binarized;22662_binarized;22382_binarized,82
22699_binarized;22697_binarized;23173_binarized;23174_binarized;23175_binarized,89
20728_binarized;20727_binarized;22383_binarized;23206_binarized;23207_binarized;22384_binarized,86
23209_binarized;23199_binarized;23208_binarized;23206_binarized,92
22382_binarized;20728_binarized;23206_binarized;20726_binarized;20725_binarized,104
20725_binarized;22382_binarized;23206_binarized;23207_binarized;22662_binarized;20727_binarized,83
20725_binarized;20728_binarized;22383_binarized;23207_binarized;22662_binarized;20727_binarized,87
22699_binarized;22697_binarized;23174_binarized;22423_binarized,95
20725_binarized;22382_binarized;20726_binarized;23199_binarized;23206_binarized,80
22918_binarized;22916_binarized;22919_binarized,81
22699_binarized;22698_binarized;23174_binarized;22423_binarized;22697_binarized,88
22423_binarized;22697_binarized;23174_binarized;23175_binarized,93
22423_binarized;22698_binarized;23174_binarized;23173_binarized,84
23206_binarized;23208_binarized;22662_binarized;20725_binarized,84
20725_binarized;22382_binarized;20728_binarized;20727_binarized;22384_binarized;22662_binarized;22383_binarized,87
23209_binarized;22382_binarized;20727_binarized;23207_binarized;23208_binarized;22383_binarized,79
23203_binarized;20726_binarized;23199_binarized;23206_binarized,80
22423_binarized;47566_binarized;22697_binarized;22699_binarized,92
22382_binarized;20728_binarized;20727_binarized;22384_binarized;22383_binarized;23207_binarized;20725_binarized,93
20725_binarized;23209_binarized;20728_binarized;22383_binarized;23206_binarized;23207_binarized;20727_binarized,79
20725_binarized;22382_binarized;23207_binarized;22662_binarized;20728_binarized,97
20725_binarized;22382_binarized;22384_binarized;22383_binarized;23207_binarized;20727_binarized,96
22382_binarized;20728_binarized;23208_binarized;20725_binarized,114
20725_binarized;20727_binarized;22383_binarized;23207_binarized;20726_binarized;22382_binarized,87
22423_binarized;22697_binarized;22698_binarized;23174_binarized;22699_binarized;23175_binarized,83
22411_binarized;23582_binarized;23203_binarized,83
22699_binarized;23173_binarized;23171_binarized;22697_binarized;23170_binarized,84
22423_binarized;22698_binarized;23174_binarized;22697_binarized;23173_binarized,83
20728_binarized;20727_binarized;22384_binarized;23207_binarized;22662_binarized;20725_binarized;22383_binarized,81
22382_binarized;20726_binarized;23199_binarized;23206_binarized,89
20728_binarized;20727_binarized;22384_binarized;22383_binarized;20725_binarized,128
20725_binarized;23209_binarized;20727_binarized;22384_binarized;23207_binarized;20728_binarized,90
20725_binarized;23209_binarized;21931_binarized;23203_binarized,84
22382_binarized;20728_binarized;20727_binarized;22383_binarized;23208_binarized;20725_binarized,90
22918_binarized;22920_binarized,86
22916_binarized;22917_binarized;22918_binarized,83
22423_binarized;22699_binarized;22697_binarized;23175_binarized;23174_binarized;22698_binarized,83
22382_binarized;20727_binarized;22384_binarized;22383_binarized;20726_binarized;20725_binarized,95
23173_binarized;23170_binarized;23175_binarized;23174_binarized;22699_binarized,85
22382_binarized;20727_binarized;22384_binarized;23206_binarized;23208_binarized;20725_binarized,82
22384_binarized;23201_binarized;21931_binarized;22383_binarized,82
23209_binarized;23581_binarized;23203_binarized,100
23203_binarized;20725_binarized;22384_binarized;22383_binarized;20728_binarized,84
20727_binarized;22386_binarized;23199_binarized;22384_binarized,79
23209_binarized;22382_binarized;20727_binarized;23206_binarized;23207_binarized;22383_binarized,85
22697_binarized;22698_binarized;23174_binarized;22423_binarized;22699_binarized,88
22423_binarized;22699_binarized;22698_binarized;23175_binarized;23174_binarized;22697_binarized,83
22698_binarized;23173_binarized;23175_binarized;23174_binarized;22699_binarized;22697_binarized,82
20725_binarized;23209_binarized;22382_binarized;22384_binarized;22383_binarized;23206_binarized;20728_binarized,79
22423_binarized;23171_binarized;23174_binarized;23175_binarized,81
22382_binarized;22384_binarized;22383_binarized;23207_binarized;20728_binarized,105
20727_binarized;22383_binarized;23207_binarized;20726_binarized;22662_binarized;22382_binarized,80
20725_binarized;22382_binarized;22384_binarized;22383_binarized;23206_binarized;20727_binarized,92
22383_binarized;23207_binarized;23208_binarized;22662_binarized;20727_binarized,80
20725_binarized;23209_binarized;22384_binarized;23207_binarized;23208_binarized;20728_binarized,81
23206_binarized;23208_binarized;22662_binarized;22382_binarized,83
20728_binarized;20727_binarized;22383_binarized;20726_binarized;22662_binarized;22382_binarized,80
22699_binarized;23172_binarized;23170_binarized;23171_binarized,93
22699_binarized;22698_binarized;23173_binarized;22697_binarized,104
22699_binarized;22698_binarized;23172_binarized;23171_binarized,91
20728_binarized;22383_binarized;23207_binarized;23208_binarized;20727_binarized,89
23175_binarized;23171_binarized;23174_binarized,90
20728_binarized;23207_binarized;23208_binarized;22662_binarized;20725_binarized,80
20727_binarized;23206_binarized;23207_binarized;22662_binarized;22382_binarized,87
22382_binarized;22384_binarized;23207_binarized;23208_binarized;20728_binarized,86
20728_binarized;22384_binarized;20726_binarized;23208_binarized;20725_binarized;22383_binarized,83
20725_binarized;23209_binarized;22382_binarized;22384_binarized;22662_binarized;22383_binarized,84
22384_binarized;23207_binarized;20726_binarized;22662_binarized;20725_binarized,83
20728_binarized;20727_binarized;23206_binarized;22662_binarized;20725_binarized,82
20725_binarized;20728_binarized;22383_binarized;23207_binarized;20726_binarized;22384_binarized,86
